sepal_length,sepal_width,petal_length,petal_width,species,id
5.0,3.5,1.3,0.3,Iris-setosa,40
4.5,2.3,1.3,0.3,Iris-setosa,41
4.4,3.2,1.3,0.2,Iris-setosa,42
5.0,3.5,1.6,0.6,Iris-setosa,43
5.1,3.8,1.9,0.4,Iris-setosa,44
4.8,3.0,1.4,0.3,Iris-setosa,45
5.1,3.8,1.6,0.2,Iris-setosa,46
4.6,3.2,1.4,0.2,Iris-setosa,47
5.3,3.7,1.5,0.2,Iris-setosa,48
5.0,3.3,1.4,0.2,Iris-setosa,49
7.0,3.2,4.7,1.4,Iris-versicolor,50
6.4,3.2,4.5,1.5,Iris-versicolor,51
6.9,3.1,4.9,1.5,Iris-versicolor,52
5.5,2.3,4.0,1.3,Iris-versicolor,53
6.5,2.8,4.6,1.5,Iris-versicolor,54
5.7,2.8,4.5,1.3,Iris-versicolor,55
6.3,3.3,4.7,1.6,Iris-versicolor,56
4.9,2.4,3.3,1.0,Iris-versicolor,57
6.6,2.9,4.6,1.3,Iris-versicolor,58
5.2,2.7,3.9,1.4,Iris-versicolor,59
5.0,2.0,3.5,1.0,Iris-versicolor,60
5.9,3.0,4.2,1.5,Iris-versicolor,61
6.0,2.2,4.0,1.0,Iris-versicolor,62
6.1,2.9,4.7,1.4,Iris-versicolor,63
5.6,2.9,3.6,1.3,Iris-versicolor,64
6.7,3.1,4.4,1.4,Iris-versicolor,65
5.6,3.0,4.5,1.5,Iris-versicolor,66
5.8,2.7,4.1,1.0,Iris-versicolor,67
6.2,2.2,4.5,1.5,Iris-versicolor,68
5.6,2.5,3.9,1.1,Iris-versicolor,69
5.9,3.2,4.8,1.8,Iris-versicolor,70
6.1,2.8,4.0,1.3,Iris-versicolor,71
6.3,2.5,4.9,1.5,Iris-versicolor,72
6.1,2.8,4.7,1.2,Iris-versicolor,73
6.4,2.9,4.3,1.3,Iris-versicolor,74
6.6,3.0,4.4,1.4,Iris-versicolor,75
6.8,2.8,4.8,1.4,Iris-versicolor,76
6.7,3.0,5.0,1.7,Iris-versicolor,77
6.0,2.9,4.5,1.5,Iris-versicolor,78
5.7,2.6,3.5,1.0,Iris-versicolor,79
5.5,2.4,3.8,1.1,Iris-versicolor,80
5.5,2.4,3.7,1.0,Iris-versicolor,81
5.8,2.7,3.9,1.2,Iris-versicolor,82
6.0,2.7,5.1,1.6,Iris-versicolor,83
5.4,3.0,4.5,1.5,Iris-versicolor,84
6.0,3.4,4.5,1.6,Iris-versicolor,85
6.7,3.1,4.7,1.5,Iris-versicolor,86
6.3,2.3,4.4,1.3,Iris-versicolor,87
5.6,3.0,4.1,1.3,Iris-versicolor,88
5.5,2.5,4.0,1.3,Iris-versicolor,89
5.5,2.6,4.4,1.2,Iris-versicolor,90
6.1,3.0,4.6,1.4,Iris-versicolor,91
5.8,2.6,4.0,1.2,Iris-versicolor,92
5.0,2.3,3.3,1.0,Iris-versicolor,93
5.6,2.7,4.2,1.3,Iris-versicolor,94
5.7,3.0,4.2,1.2,Iris-versicolor,95
5.7,2.9,4.2,1.3,Iris-versicolor,96
6.2,2.9,4.3,1.3,Iris-versicolor,97
5.1,2.5,3.0,1.1,Iris-versicolor,98
5.7,2.8,4.1,1.3,Iris-versicolor,99
6.3,3.3,6.0,2.5,Iris-virginica,100
5.8,2.7,5.1,1.9,Iris-virginica,101
7.1,3.0,5.9,2.1,Iris-virginica,102
6.3,2.9,5.6,1.8,Iris-virginica,103
6.5,3.0,5.8,2.2,Iris-virginica,104
7.6,3.0,6.6,2.1,Iris-virginica,105
4.9,2.5,4.5,1.7,Iris-virginica,106
7.3,2.9,6.3,1.8,Iris-virginica,107
6.7,2.5,5.8,1.8,Iris-virginica,108
7.2,3.6,6.1,2.5,Iris-virginica,109
6.5,3.2,5.1,2.0,Iris-virginica,110
6.4,2.7,5.3,1.9,Iris-virginica,111
6.8,3.0,5.5,2.1,Iris-virginica,112
5.7,2.5,5.0,2.0,Iris-virginica,113
5.8,2.8,5.1,2.4,Iris-virginica,114
6.4,3.2,5.3,2.3,Iris-virginica,115
6.5,3.0,5.5,1.8,Iris-virginica,116
7.7,3.8,6.7,2.2,Iris-virginica,117
7.7,2.6,6.9,2.3,Iris-virginica,118
6.0,2.2,5.0,1.5,Iris-virginica,119
6.9,3.2,5.7,2.3,Iris-virginica,120
5.6,2.8,4.9,2.0,Iris-virginica,121
7.7,2.8,6.7,2.0,Iris-virginica,122
6.3,2.7,4.9,1.8,Iris-virginica,123
6.7,3.3,5.7,2.1,Iris-virginica,124
7.2,3.2,6.0,1.8,Iris-virginica,125
6.2,2.8,4.8,1.8,Iris-virginica,126
6.1,3.0,4.9,1.8,Iris-virginica,127
6.4,2.8,5.6,2.1,Iris-virginica,128
7.2,3.0,5.8,1.6,Iris-virginica,129
7.4,2.8,6.1,1.9,Iris-virginica,130
7.9,3.8,6.4,2.0,Iris-virginica,131
6.4,2.8,5.6,2.2,Iris-virginica,132
6.3,2.8,5.1,1.5,Iris-virginica,133
6.1,2.6,5.6,1.4,Iris-virginica,134
7.7,3.0,6.1,2.3,Iris-virginica,135
6.3,3.4,5.6,2.4,Iris-virginica,136
6.4,3.1,5.5,1.8,Iris-virginica,137
6.0,3.0,4.8,1.8,Iris-virginica,138
6.9,3.1,5.4,2.1,Iris-virginica,139
6.7,3.1,5.6,2.4,Iris-virginica,140
6.9,3.1,5.1,2.3,Iris-virginica,141
5.8,2.7,5.1,1.9,Iris-virginica,142
6.8,3.2,5.9,2.3,Iris-virginica,143
6.7,3.3,5.7,2.5,Iris-virginica,144
6.7,3.0,5.2,2.3,Iris-virginica,145
6.3,2.5,5.0,1.9,Iris-virginica,146
6.5,3.0,5.2,2.0,Iris-virginica,147
6.2,3.4,5.4,2.3,Iris-virginica,148
5.9,3.0,5.1,1.8,Iris-virginica,149
